"id","title","institution","grant_type","coinvestigators","subpanel","budget","duration"
"2011/01/B/HS1/04572","Przygotowanie edycji krytycznej przypisywanego Benedyktowi Hessemu komentarza do Kategorii zachowanego w rękopisie BJ 1900 ff. 124v-272v.","TOWARZYSTWO NAUKOWE KATOLICKIEGO UNIWERSYTETU LUBELSKIEGO JANA PAWŁA II","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 4","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 91 500 PLN","Czas trwania projektu: 36 miesięcy"
"2011/03/B/HS3/00535","Sumaryzacja Metryki Koronnej 138","Instytut Historii im. Tadeusza Manteuffla PAN","Konkurs: OPUS 2  - ogłoszony 2011-09-15","Liczba wykonawców projektu: 1","HS3   - Wiedza o przeszłości: historia, archeologia, etnologia, antropologia kulturowa, m.in.:","Przyznana kwota: 18 850 PLN","Czas trwania projektu: 12 miesięcy"
"2011/01/B/HS1/05416","Świadomość Fenomenalna i Pojęcia Fenomenalne","UNIWERSYTET SZCZECIŃSKI","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS1   - Fundamentalne pytania o naturę człowieka i otaczającej go rzeczywistości: filozofia, nauki o poznaniu, religioznawstwo, teologia, m.in.:","Przyznana kwota: 66 300 PLN","Czas trwania projektu: 24 miesięcy"
"2011/01/B/HS5/02615","Modele międzysektorowej polityki turystycznej i ich zróżnicowania w strefach podmiejskich dużych miast na przykładzie aglomeracji Dolnego Śląska.","AKADEMIA WYCHOWANIA FIZYCZNEGO WE WROCŁAWIU","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 8","HS5   - Normy i władza: prawo, nauki o polityce, polityka regionalna i społeczna, m.in.:","Przyznana kwota: 99 274 PLN","Czas trwania projektu: 17 miesięcy"
"2011/01/B/HS2/00505","Dokumentacja rosyjskiej gwary staroobrzędowców w północno-wschodniej Polsce - internetowa baza danych","Uniwersytet Mikołaja Kopernika, Wydział Filologiczny","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 6","HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:","Przyznana kwota: 218 830 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/HS4/04735","Wybuchowa trajektoria długu publicznego: przyczyny i skutki","Uniwersytet Warszawski, Wydział Nauk Ekonomicznych","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 2","HS4   - Jednostka, instytucje, rynki: ekonomia, finanse, zarządzanie, demografia, m.in.:","Przyznana kwota: 49 920 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS2/00964","Polskie pisarstwo kobiet w wieku XX: kontynuacje i zwroty","Uniwersytet im. Adama Mickiewicza, Wydział Filologii Polskiej i Klasycznej","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 4","HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:","Przyznana kwota: 76 800 PLN","Czas trwania projektu: 36 miesięcy"
"2011/03/B/HS4/05092","Modelowanie zmienności i ryzyka z wykorzystaniem metod ślepej identyfikacji oraz systemu Extended Generalized Lambda Distribution","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Zastosowań Informatyki i Matematyki, Katedra Informatyki","Konkurs: OPUS 2  - ogłoszony 2011-09-15","Liczba wykonawców projektu: 3","HS4   - Jednostka, instytucje, rynki: ekonomia, finanse, zarządzanie, demografia, m.in.:","Przyznana kwota: 78 000 PLN","Czas trwania projektu: 12 miesięcy"
"2011/01/B/HS2/01095","Nagisa Ōshima i japońska nowa fala","Uniwersytet Jagielloński, Wydział Zarządzania i Komunikacji Społecznej","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:","Przyznana kwota: 52 000 PLN","Czas trwania projektu: 24 miesięcy"
"2011/01/B/HS5/00731","Odpowiedzialność państwa członkowskiego z tytułu działalności organizacji międzynarodowych","Uniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 1","HS5   - Normy i władza: prawo, nauki o polityce, polityka regionalna i społeczna, m.in.:","Przyznana kwota: 52 400 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS2/01120","Polskie dyskursy postzależnościowe w kontekście porównawczym. Tematy i metodologie","Uniwersytet Warszawski, Wydział Polonistyki","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 3","HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:","Przyznana kwota: 76 800 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/HS2/06117","Ciało polityczne amerykańskiego poety Roberta Frosta","Uniwersytet Łódzki, Wydział Filologiczny","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 2","HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:","Przyznana kwota: 98 250 PLN","Czas trwania projektu: 18 miesięcy"
"2011/01/B/HS2/01154","Naukowe opracowanie rękopisów i ksylografów tybetańskich kolekcji Pandera A i B przechowywanych w Bibliotece Jagiellońskiej i analiza krytyczna fragmentów wybranych utworów","UNIWERSYTET WARSZAWSKI","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 2","HS2   - Kultura i twórczość kulturowa: literaturoznawstwo, bibliotekoznawstwo, językoznawstwo, kulturoznawstwo, nauki o sztuce, m.in.:","Przyznana kwota: 45 000 PLN","Czas trwania projektu: 36 miesięcy"
"2011/01/B/ST10/05384","Ocena możliwości zastosowania krótko-czasowych rozwiązań GPS do badania rezydualnych zmian deformacyjnych o charakterze dynamicznym w częstotliwościach pływowych","Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego, Wydział Inżynierii Lądowej i Geodezji","Konkurs: OPUS 1  - ogłoszony 2011-03-15","Liczba wykonawców projektu: 5","ST10   - Nauki o Ziemi: geografia fizyczna, geologia, geofizyka, meteorologia, oceanologia, klimatologia, ekologia, globalne zmiany środowiska, cykle biogeochemiczne, zarządzanie zasobami naturalnymi, m.in.:","Przyznana kwota: 232 480 PLN","Czas trwania projektu: 18 miesięcy"
