"id","correct_name"
"2017/25/B/ST8/00134","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/26/D/ST3/00109","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/26/E/ST3/00119","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/26/E/ST5/00043","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/B/ST2/00175","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/D/ST8/00542","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/16/T/ST3/00264","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/16/T/ST3/00266","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/16/T/ST3/00310","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/16/T/ST3/00312","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST2/00101","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST2/02904","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST3/01161","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/N/ST3/02266","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/N/ST3/02282","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/27/N/ST2/01880","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/28/T/ST2/00047","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/28/T/ST2/00048","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/29/B/ST2/00244","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/30/E/ST3/00377","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/30/Q/ST2/00101","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/31/B/ST2/03998","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/31/N/ST2/01471","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2019/32/T/ST3/00044","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/N/ST10/02845","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/B/ST10/04892","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/31/B/ST10/01626","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/D/ST10/06814","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/M/ST10/06999","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/B/ST10/00235","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/B/ST10/06327","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/B/HS4/03933","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/B/ST10/04318","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/N/ST10/04619","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/N/ST10/05354","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/B/ST10/00521","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST10/03127","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/N/ST10/03594","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/B/ST10/04361","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/N/ST10/03465","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/B/ST10/02249","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST10/00677","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST10/01435","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/D/ST10/04045","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/11/B/ST10/04742","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/B/ST10/01326","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/B/ST10/02529","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/N/ST10/04945","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/14/E/ST10/00321","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/B/ST10/01809","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/N/ST10/01516","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/B/ST10/02079","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/N/ST10/00390","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/D/ST10/00738","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/22/M/ST10/00589","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/B/ST10/01896","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/N/ST10/00350","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/N/ST10/01296","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/D/ST10/01526","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/25/B/ST10/00768","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/25/N/ST10/02501","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/11/N/ST10/00355","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/11/N/ST10/00357","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/B/ST10/00131","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/B/ST10/03862","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST10/03114","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST10/03231","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/N/ST10/02666","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/27/B/ST10/00594","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/27/N/ST10/00713","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/27/N/ST10/00776","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2018/31/N/ST10/02486","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/B/HS6/01753","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/08/S/HS3/00271","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/D/HS1/00348","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/D/HS6/00437","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/14/E/HS6/00327","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
